観測点番号,震度発表名称,観測点緯度,観測点経度,観測開始年月日時分,観測終了年月日時分
1000000,石狩市花川,43.1667,141.3167,199604011200,
1000001,石狩市聚富,43.2833,141.4167,201210021200,
1000020,石狩市厚田＊,43.4,141.4333,200603011200,
1000021,石狩市浜益＊,43.6,141.3833,200603011200,
1000022,石狩市花畔＊,43.1667,141.3,200606201200,
1000120,当別町白樺＊,43.2167,141.5167,200603011200,
1000230,新篠津村第４７線（旧）＊,43.2333,141.65,200207291200,201105121300
1000231,新篠津村第４７線＊,43.2333,141.65,201105121300,
1010000,札幌中央区北２条,43.0667,141.3333,187699999999,
1010040,札幌中央区南４条＊,43.05,141.35,201101061200,
1010120,札幌北区太平＊,43.1333,141.35,200603011200,
1010140,札幌北区篠路＊,43.15,141.35,201101061200,
1010141,札幌北区新琴似＊,43.1167,141.3333,201101061200,
1010240,札幌東区元町（旧）＊,43.1,141.3667,201101061200,201306111200
1010241,札幌東区元町＊,43.1,141.3667,201306111200,
1010330,札幌白石区本郷通＊,43.05,141.4,200207291200,201105121300
1010340,札幌白石区北郷（旧）＊,43.05,141.4167,201101061200,202003301200
1010341,札幌白石区北郷＊,43.05,141.4167,202003301200,
1010440,札幌豊平区月寒東＊,43.0333,141.4,201101061200,
1010520,札幌南区定山渓温泉（旧）＊,42.9667,141.1667,200603011200,202204221200
1010521,札幌南区定山渓温泉＊,42.9667,141.1833,202204221200,
1010540,札幌南区真駒内＊,42.9833,141.35,201101061200,201802221200
1010541,札幌南区簾舞＊,42.9667,141.25,201101061200,201802211200
1010542,札幌南区川沿＊,43.0,141.3333,201802221200,
1010543,札幌南区石山＊,42.9667,141.3333,201802211200,
1010640,札幌西区琴似＊,43.0667,141.3,201101061200,
1010740,札幌厚別区もみじ台＊,43.0333,141.5,201101061200,
1010840,札幌手稲区前田＊,43.1167,141.2667,201101061200,
1010900,江別市高砂町,43.1,141.5333,199604011200,
1010920,江別市緑町＊,43.1167,141.55,200603011200,
1011040,札幌清田区平岡＊,43.0,141.45,201101061200,
1020000,千歳市北栄,42.8333,141.6333,199604011200,
1020001,新千歳空港,42.7833,141.6833,200707021200,
1020020,千歳市若草＊,42.7833,141.6,200603011200,
1020021,千歳市支笏湖温泉＊,42.7833,141.4,200606201200,
1020100,恵庭市漁平,42.85,141.45,199407151200,
1020130,恵庭市京町＊,42.8833,141.5833,200207291200,
1020220,北広島市共栄＊,43.0,141.55,200603011200,
1050000,八雲町大新,42.2,140.25,199407151200,199802091100
1050001,八雲町上の湯,42.1167,140.3667,199802091100,
1050020,八雲町住初町＊,42.2667,140.2667,200603011200,
1050021,八雲町熊石雲石町＊,42.1333,139.9833,200603011200,
1050120,長万部町平里＊,42.5,140.35,200603011200,
1060000,函館市美原（旧）,41.8167,140.75,187399999999,201903261200
1060001,函館市尾札部町,41.8833,141.0333,199407151200,
1060002,函館市美原,41.8167,140.75,201903261200,
1060020,函館市大森町＊,41.7667,140.7333,200603011200,
1060021,函館市泊町＊,41.7167,141.0,200603011200,
1060022,函館市新浜町＊,41.8333,141.1333,200603011200,
1060023,函館市川汲町＊,41.9,140.9667,200603011200,
1060030,函館市日ノ浜町（旧）＊,41.7833,141.1,200207291200,201105121300
1060031,函館市日ノ浜町＊,41.7833,141.1,201105121300,
1060300,七飯町桜町（旧）,41.9,140.6833,199604011200,201412171200
1060301,七飯町桜町,41.9,140.6833,201412171200,
1060320,七飯町本町＊,41.9,140.7,200606201200,
1060820,鹿部町宮浜＊,42.05,140.8,200603011200,
1061000,渡島森町上台町,42.1,140.5667,193802999999,200203021200
1061001,渡島森町姫川,42.0667,140.5833,200203021200,200403011200
1061002,渡島森町御幸町（旧）,42.1,140.5833,200403011200,201312041200
1061003,渡島森町御幸町,42.1,140.5833,201312041200,
1061020,渡島森町上台町＊,42.1,140.5667,200603011200,
1061030,渡島森町砂原（旧）＊,42.1167,140.6667,200207291200,201105121300
1061031,渡島森町砂原＊,42.1167,140.6667,201105121300,
1061130,渡島北斗市中央（旧）＊,41.8167,140.65,200207291200,201105121300
1061131,渡島北斗市本町（旧）＊,41.8833,140.65,200207291200,201105121300
1061132,渡島北斗市中央＊,41.8167,140.65,201105121300,
1061133,渡島北斗市本町＊,41.8833,140.65,201105121300,
1070000,渡島松前町福山,41.4333,140.1167,199511251500,
1070001,渡島松前町清部,41.5167,140.0,201307301200,
1070120,福島町福島＊,41.4833,140.25,200603011200,
1070200,知内町小谷石,41.5333,140.4167,199802091100,
1070230,知内町重内（旧）＊,41.6,140.4167,200207291200,201105121300
1070231,知内町重内＊,41.6,140.4167,201105121300,
1070320,木古内町木古内（旧）＊,41.6833,140.4333,200603011200,201810291200
1070321,木古内町木古内＊,41.6833,140.4333,201810291200,
1100000,檜山江差町姥神（旧）,41.8667,140.1333,194199999999,202009121200
1100001,檜山江差町姥神,41.8667,140.1167,202009121200,
1100020,檜山江差町中歌町＊,41.8667,140.1333,200603011200,
1100100,上ノ国町早川,41.6833,140.05,199407151200,199802091100
1100120,上ノ国町湯ノ岱＊,41.75,140.25,200606201200,
1100121,上ノ国町小砂子＊,41.65,140.0,200606201200,
1100130,上ノ国町大留（旧）＊,41.8,140.1167,200207291200,201105121300
1100131,上ノ国町大留＊,41.8,140.1167,201105121300,
1100220,厚沢部町木間内＊,41.9333,140.3667,200606201200,
1100230,厚沢部町新町（旧）＊,41.9167,140.2333,200207291200,201105121300
1100231,厚沢部町新町＊,41.9167,140.2333,201105121300,
1100330,乙部町緑町（旧）＊,41.9667,140.1333,200207291200,201105121300
1100331,乙部町緑町＊,41.9667,140.1333,201105121300,
1100820,今金町今金＊,42.4333,140.0167,200603011200,
1100900,せたな町北檜山区豊岡,42.4167,139.8833,201207031200,
1100920,せたな町大成区都＊,42.2333,139.8167,200603011200,
1100921,せたな町瀬棚区本町＊,42.45,139.85,200603011200,
1100922,せたな町瀬棚区北島歌＊,42.6,139.8333,200606201200,
1100930,せたな町北檜山区徳島（旧）＊,42.4167,139.8833,200207291200,201105121300
1100931,せたな町北檜山区徳島＊,42.4167,139.8833,201105121300,
1150000,小樽市勝納町,43.1833,141.0167,194399999999,
1150020,小樽市花園町＊,43.1833,141.0,200603011200,
1150100,積丹町日司町,43.35,140.4667,199407151200,
1150120,積丹町美国町＊,43.3,140.6,200603011200,
1150121,積丹町余別町＊,43.3167,140.3833,200606201200,
1150230,古平町浜町（旧）＊,43.2667,140.6333,200207291200,201105121300
1150231,古平町浜町（旧２）＊,43.2667,140.6333,201105121300,202204291200
1150232,古平町浜町＊,43.2667,140.6333,202204291200,
1150330,仁木町西町（旧）＊,43.15,140.7667,200207291200,201105121300
1150331,仁木町西町＊,43.15,140.7667,201105121300,
1150400,余市町朝日町,43.2,140.7833,199604011200,
1150420,余市町浜中町＊,43.2,140.7833,200606201200,
1150520,赤井川村赤井川＊,43.0833,140.8167,200603011200,
1160020,ニセコ町中央通＊,42.8,140.6833,200603011200,
1160130,真狩村真狩（旧）＊,42.7667,140.8,200207291200,201105121300
1160131,真狩村真狩（旧２）＊,42.7667,140.8,201105121300,201206231200
1160132,真狩村真狩＊,42.7667,140.8,201206231200,
1160230,留寿都村留寿都（旧）＊,42.7333,140.8833,200207291200,201105121300
1160231,留寿都村留寿都＊,42.7333,140.8833,201105121300,
1160320,喜茂別町喜茂別＊,42.8,140.9333,200603011200,
1160430,京極町京極（旧）＊,42.85,140.8833,200207291200,201105121300
1160431,京極町京極＊,42.8667,140.8833,201105121300,
1160500,倶知安町南１条,42.9,140.75,194499999999,
1160520,倶知安町北４条＊,42.9,140.7667,200603011200,
1170000,島牧村江ノ島,42.65,140.0333,199407151200,
1170020,島牧村泊＊,42.7,140.0667,200603011200,
1170100,寿都町新栄（旧）,42.8,140.2167,188499999999,200811041200
1170101,寿都町新栄,42.8,140.2167,200811041200,
1170120,寿都町渡島＊,42.7833,140.2333,200603011200,
1170220,黒松内町黒松内（旧）＊,42.6667,140.3,200603011200,200709261200
1170221,黒松内町黒松内＊,42.6667,140.3,200709261200,
1170320,蘭越町蘭越＊,42.8,140.5333,200603011200,
1170430,共和町南幌似（旧）＊,42.9833,140.6167,200207291200,201105121300
1170431,共和町南幌似＊,42.9833,140.6167,201105121300,
1170500,岩内町清住（旧）,42.9833,140.5167,199604011200,201505281200
1170501,岩内町高台,42.9833,140.5167,201505281200,
1170520,岩内町清住＊,42.9833,140.5167,201507301200,
1170630,泊村茅沼村（旧）＊,43.0667,140.5,200207291200,201105121300
1170631,泊村茅沼村＊,43.0667,140.5,201105121300,
1170720,神恵内村神恵内＊,43.15,140.4333,200603011200,
1190000,奥尻町米岡,42.0667,139.4333,199504131500,200011301200
1190001,奥尻町松江,42.0833,139.4667,200011301200,
1190021,奥尻町青苗＊,42.0667,139.45,200606201200,201211151600
1190030,奥尻町奥尻（旧）＊,42.1667,139.5167,200207291200,201105121300
1190031,奥尻町奥尻＊,42.1667,139.5167,201105121300,
1190070,奥尻町奥尻（臨時）,42.1667,139.5167,199307151700,199504131500
1200020,深川市１条＊,43.7167,142.05,200603011200,
1200070,鷹泊通報所,43.9,142.1,195910019999,197501259999
1200130,妹背牛町妹背牛（旧）＊,43.7,141.9667,200207291200,201105121300
1200131,妹背牛町妹背牛＊,43.7,141.9667,201105121300,
1200230,秩父別町役場（旧）＊,43.7667,141.95,200207291200,201105121300
1200231,秩父別町役場＊,43.7667,141.95,201105121300,
1200300,北竜町竜西,43.75,141.7167,199407151200,
1200330,北竜町和（旧）＊,43.7333,141.8833,200207291200,201105121300
1200331,北竜町和＊,43.7333,141.8833,201105121300,
1200420,沼田町沼田＊,43.8,141.9333,200603011200,
1200470,石狩沼田通報所,43.8,141.95,195910019999,197804019999
1210000,芦別市旭町,43.5,142.2167,199407151200,
1210020,芦別市北２条＊,43.5167,142.1833,200603011200,
1210130,赤平市泉町（旧）＊,43.55,142.05,200207291200,201105121300
1210131,赤平市泉町＊,43.55,142.05,201105121300,
1210200,滝川市大町,43.55,141.9167,199604011200,
1210220,滝川市新町＊,43.55,141.9167,200606201200,
1210270,滝川通報所,43.5667,141.95,195810019999,999999999999
1210330,砂川市西６条（旧）＊,43.5,141.9,200207291200,201105121300
1210331,砂川市西６条＊,43.5,141.9,201105121300,202105041200
1210332,砂川市西７条＊,43.5,141.9,202105041200,
1210430,歌志内市本町（旧）＊,43.5167,142.0333,200207291200,201105121300
1210431,歌志内市本町＊,43.5167,142.0333,201105121300,
1210530,奈井江町奈井江（旧）＊,43.4333,141.8833,200207291200,201105121300
1210531,奈井江町奈井江＊,43.4333,141.8833,201105121300,
1210630,上砂川町上砂川（旧）＊,43.4833,141.9833,200207291200,201105121300
1210631,上砂川町上砂川（旧２）＊,43.4833,141.9833,201105121300,201908271200
1210632,上砂川町上砂川＊,43.4833,141.9833,201908271200,
1210730,浦臼町ウラウスナイ＊,43.4333,141.8167,200207291200,
1210830,新十津川町中央（旧）＊,43.55,141.8833,200207291200,201105121300
1210831,新十津川町中央（旧２）＊,43.55,141.8833,201105121300,201902071200
1210832,新十津川町中央＊,43.55,141.8833,201902071200,
1210930,雨竜町フシコウリウ（旧）＊,43.65,141.8833,200207291200,201105121300
1210931,雨竜町フシコウリウ（旧２）＊,43.65,141.8833,201105121300,201805031200
1210932,雨竜町フシコウリウ＊,43.65,141.8833,201805031200,
1220000,夕張市若菜,43.0333,141.9667,199604011200,
1220020,夕張市清水沢宮前町＊,43.0,142.0167,200603011200,201010051200
1220070,夕張通報所,43.0333,141.9667,196310019999,197804019999
1220100,岩見沢市５条,43.2167,141.7833,194799999999,
1220120,岩見沢市鳩が丘（旧）＊,43.2,141.7833,200603011200,202207011200
1220121,岩見沢市鳩が丘＊,43.2,141.7833,202207011200,
1220130,岩見沢市北村赤川（旧）＊,43.2667,141.7,200405261200,201105121300
1220131,岩見沢市栗沢町東本町（旧）＊,43.1167,141.75,200207291200,201105121300
1220132,岩見沢市北村赤川＊,43.2667,141.7,201105121300,
1220133,岩見沢市栗沢町東本町（旧２）＊,43.1167,141.75,201105121300,201603291200
1220134,岩見沢市栗沢町東本町＊,43.1167,141.75,201602191200,
1220160,北村赤川（旧）＊,43.2667,141.7,200207291200,200405261200
1220200,美唄市西４条,43.3333,141.85,199604011200,200011301200
1220201,美唄市西５条,43.3333,141.85,200011301200,
1220220,美唄市西３条＊,43.3333,141.85,200603011200,
1220330,三笠市若松町＊,43.25,141.8667,200207291200,201105121300
1220331,三笠市幸町＊,43.25,141.8833,201105121300,
1220630,南幌町栄町（旧）＊,43.0667,141.65,200207291200,201105121300
1220631,南幌町栄町＊,43.0667,141.65,201105121300,
1220720,由仁町新光＊,43.0,141.7833,200603011200,
1220830,長沼町中央（旧）＊,43.0167,141.7,200207291200,201105121300
1220831,長沼町中央＊,43.0167,141.7,201105121300,
1220930,栗山町松風（旧）＊,43.05,141.7833,200207291200,201105121300
1220931,栗山町松風＊,43.05,141.7833,201105121300,
1221020,月形町円山公園＊,43.35,141.6667,200603011200,
1250000,士別市東６条（旧）,44.1833,142.4,199604011200,201910301200
1250001,士別市朝日町,44.1167,142.6,199407151200,
1250002,士別市東６条,44.1833,142.4,201910301200,
1250021,士別市東３条＊,44.1833,142.4,200606201200,
1250100,名寄市大通,44.35,142.4667,199604011200,
1250120,名寄市西５条＊,44.3667,142.45,200606201200,
1250130,名寄市風連町（旧）＊,44.3,142.4167,200207291200,201105121300
1250131,名寄市風連町＊,44.3,142.4167,201105121300,
1250170,名寄通報所,44.3667,142.45,195905019999,999999999999
1250220,和寒町西町＊,44.0167,142.4167,200603011200,
1250330,剣淵町仲町（旧）＊,44.1,142.3667,200207291200,201105121300
1250331,剣淵町仲町＊,44.1,142.3667,201105121300,
1250620,下川町北町＊,44.3167,142.65,200603011200,
1250720,美深町西町＊,44.4833,142.35,200603011200,
1250721,美深町仁宇布＊,44.55,142.5667,200606201200,
1250820,音威子府村音威子府＊,44.7333,142.2667,200603011200,
1250920,上川中川町中川＊,44.8167,142.0667,200603011200,
1251020,幌加内町平和＊,44.0,142.15,200603011200,
1251021,幌加内町朱鞠内＊,44.2833,142.1667,200606201200,
1260000,旭川市８条通,43.7667,142.3667,188999999999,200410011200
1260001,旭川市宮前１条,43.75,142.3667,200410011200,
1260020,旭川市７条＊,43.7667,142.3667,200603011200,
1260130,鷹栖町南１条（旧）＊,43.85,142.35,200207291200,201105121300
1260131,鷹栖町南１条＊,43.85,142.35,201105121300,
1260230,東神楽町南１条（旧）＊,43.7,142.45,200207291200,201105121300
1260231,東神楽町南１条＊,43.7,142.45,201105121300,
1260330,当麻町３条（旧）＊,43.8333,142.5167,200207291200,201105121300
1260331,当麻町３条＊,43.8333,142.5,201105121300,
1260430,比布町北町（旧）＊,43.8833,142.4833,200207291200,201105121300
1260431,比布町北町＊,43.8833,142.4833,201105121300,
1260520,愛別町南町＊,43.9167,142.5667,200603011200,
1260600,上川町白川,43.8167,142.85,199407151200,199712191400
1260601,上川地方上川町越路,43.8833,142.75,199712191400,
1260620,上川地方上川町花園町＊,43.85,142.7667,200603011200,
1260621,上川地方上川町清川＊,43.7667,142.9,200606201200,
1260730,東川町東町＊,43.7,142.5167,200207291200,
1260820,美瑛町本町＊,43.5833,142.4667,200603011200,
1260821,美瑛町忠別＊,43.6167,142.6833,200606201200,
1270000,富良野市若松町,43.35,142.3833,199604011200,
1270020,富良野市末広町＊,43.35,142.3833,200603011200,
1270070,富良野通報所,43.3333,142.4,195810019999,197803319999
1270100,上富良野町大町,43.45,142.4667,199604011200,
1270230,中富良野町市街地（旧）＊,43.4,142.4333,200207291200,201105121300
1270231,中富良野町本町＊,43.4,142.4333,201105121300,
1270300,南富良野町幾寅,43.1667,142.5833,199407151200,
1270320,南富良野町役場＊,43.1667,142.5667,200603011200,
1270420,占冠村中央＊,42.9833,142.4,200603011200,
1300030,苫前町旭（旧）＊,44.3,141.65,200207291200,201105121300
1300031,苫前町旭＊,44.3,141.65,201105121300,
1300100,羽幌町南３条,44.3667,141.7,192199999999,
1300101,羽幌町焼尻,44.4333,141.4167,199407151200,
1300120,羽幌町南町＊,44.3667,141.7,200603011200,
1300200,初山別村有明,44.4,141.85,199407151200,
1300220,初山別村初山別＊,44.5333,141.7667,200603011200,
1300320,遠別町本町＊,44.7167,141.8,200603011200,
1300420,天塩町川口＊,44.8833,141.75,200603011200,
1310000,留萌市大町（旧）,43.95,141.6333,194399999999,200811041200
1310001,留萌市大町,43.95,141.6333,200811041200,
1310020,留萌市幸町＊,43.9333,141.6333,200603011200,
1310120,増毛町見晴町＊,43.85,141.5333,200603011200,
1310121,増毛町岩尾＊,43.7667,141.3667,200606201200,
1310220,小平町鬼鹿＊,44.15,141.6667,200603011200,
1310221,小平町達布＊,44.05,141.85,200606201200,
1350000,稚内市開運（旧）,45.4167,141.6833,193801999999,201403191200
1350001,稚内市恵北,45.3167,141.9,199601130900,
1350002,稚内市開運,45.4167,141.6833,201403191200,
1350020,稚内市中央＊,45.4167,141.6667,200603011200,
1350021,稚内市宗谷岬＊,45.5167,141.95,200606201200,
1350022,稚内市沼川（旧）＊,45.25,141.85,200606201200,201203271200
1350023,稚内市沼川＊,45.25,141.85,201203271200,
1350070,稚内公園,45.4167,141.6667,199407151200,199601130900
1350120,猿払村鬼志別＊,45.3333,142.1,200603011200,201312121200
1350121,猿払村浅茅野＊,45.2167,142.2333,200606201200,
1350122,猿払村浜鬼志別＊,45.3333,142.1667,201312121200,
1350220,豊富町西６条＊,45.1,141.7667,200603011200,
1350330,幌延町宮園町（旧２）＊,45.0167,141.85,200207291200,201105121300
1350331,幌延町宮園町＊,45.0167,141.85,201105121300,
1360020,浜頓別町クッチャロ＊,45.1333,142.35,200603011200,
1360120,中頓別町中頓別＊,44.9667,142.2833,200603011200,
1360200,宗谷枝幸町本町（旧）,44.9333,142.5833,194499999999,200410011200
1360201,宗谷枝幸町岬町,44.9667,142.5833,199407151200,
1360202,宗谷枝幸町本町（旧２）,44.9333,142.5833,200410011200,201512091200
1360203,宗谷枝幸町本町,44.9333,142.5833,201512091200,
1360220,宗谷枝幸町栄町＊,44.9333,142.5667,200603011200,
1360221,宗谷枝幸町歌登東町＊,44.85,142.4833,200603011200,
